 
        grid           theta
    1        0.93533        0.32012
    2        0.94205        0.32382
    3        0.94877        0.32752
    4        0.95550        0.33123
    5        0.96222        0.33494
    6        0.96894        0.33865
    7        0.97566        0.34236
    8        0.98238        0.34608
    9        0.98910        0.34980
   10        0.99582        0.35352
   11        1.00254        0.35725
   12        1.00926        0.36097
   13        1.01599        0.36470
   14        1.02271        0.36843
   15        1.02943        0.37216
   16        1.03615        0.37590
   17        1.04287        0.37964
   18        1.04959        0.38337
   19        1.05631        0.38712
   20        1.06303        0.39086
   21        1.06975        0.39460
   22        1.07648        0.39835
   23        1.08320        0.40210
   24        1.08992        0.40585
   25        1.09664        0.40961
   26        1.10336        0.41336
   27        1.11008        0.41712
   28        1.11680        0.42088
   29        1.12352        0.42464
   30        1.13025        0.42840
   31        1.13697        0.43217
   32        1.14369        0.43593
   33        1.15041        0.43970
   34        1.15713        0.44347
   35        1.16385        0.44724
   36        1.17057        0.45101
   37        1.17729        0.45479
   38        1.18401        0.45857
   39        1.19074        0.46234
   40        1.19746        0.46612
   41        1.20418        0.46991
   42        1.21090        0.47369
   43        1.21762        0.47747
   44        1.22434        0.48126
   45        1.23106        0.48505
   46        1.23778        0.48883
   47        1.24450        0.49263
   48        1.25123        0.49642
   49        1.25795        0.50021
   50        1.26467        0.50401
 
 avg_z     =        1.10001
 sd_z      =        0.02339
 avg_theta =        0.41150
 sd_theta  =        0.01307
