 
        grid           theta
    1        0.93533        0.33634
    2        0.94205        0.33818
    3        0.94877        0.34000
    4        0.95550        0.34181
    5        0.96222        0.34359
    6        0.96894        0.34536
    7        0.97566        0.34711
    8        0.98238        0.34884
    9        0.98910        0.35055
   10        0.99582        0.35224
   11        1.00254        0.35392
   12        1.00926        0.35558
   13        1.01599        0.35723
   14        1.02271        0.35886
   15        1.02943        0.36047
   16        1.03615        0.36206
   17        1.04287        0.36364
   18        1.04959        0.36520
   19        1.05631        0.36675
   20        1.06303        0.36829
   21        1.06975        0.36980
   22        1.07648        0.37131
   23        1.08320        0.37279
   24        1.08992        0.37427
   25        1.09664        0.37573
   26        1.10336        0.37717
   27        1.11008        0.37860
   28        1.11680        0.38002
   29        1.12352        0.38142
   30        1.13025        0.38281
   31        1.13697        0.38419
   32        1.14369        0.38555
   33        1.15041        0.38690
   34        1.15713        0.38824
   35        1.16385        0.38957
   36        1.17057        0.39088
   37        1.17729        0.39218
   38        1.18401        0.39347
   39        1.19074        0.39474
   40        1.19746        0.39601
   41        1.20418        0.39726
   42        1.21090        0.39850
   43        1.21762        0.39973
   44        1.22434        0.40095
   45        1.23106        0.40216
   46        1.23778        0.40336
   47        1.24450        0.40454
   48        1.25123        0.40572
   49        1.25795        0.40688
   50        1.26467        0.40804
 
 avg_z     =        1.10001
 sd_z      =        0.02339
 avg_theta =        0.37637
 sd_theta  =        0.00504
